pincode,state_id,area_code,area_name,region,is_edl,ecom_zone,apex_service,apex_tat,apex_zone,surface_service,surface_tat,surface_zone,dp_service,dp_tat,dp_zone
000001,21,HQC,"BLUE DART CENTRE",HO,0,A,both,24,WS,both,72,W2,both,24,A
000005,32,HYD,BALANAGAR,SOUTH1,0,A,both,24,ST,both,48,S2,both,24,A
000008,5,PAT,"PAW-APX SFC ETAIL PUD",EAST,0,A,both,48,ES,both,120,E2,both,48,A
000013,21,BOM,"NSDL RTOS",WEST1,0,A,both,24,WS,both,72,W2,both,24,A
000071,21,BOM,"UTI SERVICE CENTER",WEST1,0,A,both,24,WS,both,72,W2,both,24,A
000093,21,BOM,"BOB - INTL DEPT",WEST1,0,A,both,24,WS,,,,both,24,A
000099,21,BOM,"WEST 1 REGIONAL OFFICE",WEST1,0,A,both,24,WS,both,72,W2,both,24,A
110001,9,DEL,ANTARIKSH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110002,9,DEL,"INDRAPRAKASH BLDG",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110003,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110004,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110005,9,DEL,"RAJENDRA PLACE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110006,9,DEL,"CP BRANCH OFFICE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110007,9,DEL,"CP BRANCH OFFICE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110008,9,DEL,"RAJENDRA PLACE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110009,9,DEL,WAZIRPUR,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110010,9,DEL,"DELHI CANTONMENT",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110011,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110012,9,DEL,"RAJENDRA PLACE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110013,9,DEL,OKHLA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110014,9,DEL,OKHLA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110015,9,DEL,"RAMA ROAD",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110016,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110017,9,DEL,SAKET,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110018,9,DEL,"PASCHIM VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110019,9,DEL,"NEHRU PLACE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110020,9,DEL,OKHLA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110021,9,DEL,"DELHI CANTONMENT",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110022,9,DEL,"DELHI CANTONMENT",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110023,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110024,9,DEL,"NEHRU PLACE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110025,9,DEL,"MOHAN CO OP INDL AREA",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110026,9,DEL,"RAMA ROAD",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110027,9,DEL,"RAMA ROAD",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110028,9,DEL,"RAJENDRA PLACE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110029,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110030,9,DEL,"VASANT VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110031,9,DEL,"KRISHNA NAGAR SERVICE CEN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110032,9,DEL,"JHILMIL INDUSTRIAL AREA",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110033,9,DEL,WAZIRPUR,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110034,9,DEL,PITAMPURA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110035,9,DEL,"RAMA ROAD",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110036,9,DEL,"ROHINI SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110037,9,DEL,KAPASHERA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110038,9,DEL,KAPASHERA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110039,9,DEL,"ROHINI SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110040,9,DEL,"ROHINI SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110041,9,DEL,HIRANKUDNA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110042,9,DEL,"ROHINI SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110043,9,DEL,JANAKPURI,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110044,9,DEL,"MOHAN CO OP INDL AREA",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110045,9,DEL,"PALAM SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110046,9,DEL,JANAKPURI,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110047,9,DEL,"VASANT VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110048,9,DEL,"NEHRU PLACE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110049,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110050,9,DEL,"PASCHIM VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110051,9,DEL,"KRISHNA NAGAR SERVICE CEN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110052,9,DEL,WAZIRPUR,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110053,9,DEL,"JHILMIL INDUSTRIAL AREA",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110054,9,DEL,"CP BRANCH OFFICE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110055,9,DEL,"CP BRANCH OFFICE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110056,9,DEL,"PASCHIM VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110057,9,DEL,"DELHI CANTONMENT",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110058,9,DEL,JANAKPURI,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110059,9,DEL,JANAKPURI,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110060,9,DEL,"RAJENDRA PLACE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110061,9,DEL,KAPASHERA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110062,9,DEL,SAKET,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110063,9,DEL,"PASCHIM VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110064,9,DEL,"RAMA ROAD",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110065,9,DEL,OKHLA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110066,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110067,9,DEL,SAKET,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110068,9,DEL,SAKET,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110069,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110070,9,DEL,"VASANT VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110071,9,DEL,NAZAFGARH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110072,9,DEL,NAZAFGARH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110073,9,DEL,NAZAFGARH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110074,9,DEL,"VASANT VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110075,9,DEL,"DWARIKA SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110076,9,DEL,"MOHAN CO OP INDL AREA",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110077,9,DEL,"DWARIKA SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110078,9,DEL,"DWARIKA SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110080,9,DEL,SAKET,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110081,9,DEL,HIRANKUDNA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110082,9,DEL,"ROHINI SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110083,9,DEL,PITAMPURA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110084,9,DEL,WAZIRPUR,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110085,9,DEL,"ROHINI SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110086,9,DEL,HIRANKUDNA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110087,9,DEL,"PASCHIM VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
